sentiment,text,cleaned_text,tokenized_text,POS tagged,Lemma
Negative,The staff was not communicative and didn't provide clear information about my treatment.,staff communicative provide clear information treatment,"['staff', 'communicative', 'provide', 'clear', 'information', 'treatment']","[('staff', 'n'), ('communicative', 'a'), ('provide', 'n'), ('clear', 'a'), ('information', 'n'), ('treatment', 'n')]",  staff communicative provide clear information treatment
Negative,The hospital environment was unclean and didn't feel sanitary.,hospital environment unclean feel sanitary,"['hospital', 'environment', 'unclean', 'feel', 'sanitary']","[('hospital', 'n'), ('environment', 'n'), ('unclean', 'a'), ('feel', 'n'), ('sanitary', 'a')]",  hospital environment unclean feel sanitary
Negative,The doctor seemed rushed and didn't take the time to listen to my concerns.,doctor seemed rushed take time listen concerns,"['doctor', 'seemed', 'rushed', 'take', 'time', 'listen', 'concerns']","[('doctor', 'n'), ('seemed', 'v'), ('rushed', 'a'), ('take', 'n'), ('time', 'n'), ('listen', 'a'), ('concerns', 'n')]",  doctor seem rushed take time listen concern
Negative,I had to wait for an extended period before receiving treatment.,wait extended period receiving treatment,"['wait', 'extended', 'period', 'receiving', 'treatment']","[('wait', 'n'), ('extended', 'v'), ('period', 'n'), ('receiving', 'n'), ('treatment', 'n')]",  wait extend period receiving treatment
Negative,The staff was rude and dismissive of my concerns.,staff rude dismissive concerns,"['staff', 'rude', 'dismissive', 'concerns']","[('staff', 'n'), ('rude', 'v'), ('dismissive', 'a'), ('concerns', 'n')]",  staff rude dismissive concern
Negative,"The hospital was overcrowded, and it was difficult to move around or get assistance.",hospital overcrowded difficult move around get assistance,"['hospital', 'overcrowded', 'difficult', 'move', 'around', 'get', 'assistance']","[('hospital', 'n'), ('overcrowded', 'v'), ('difficult', 'a'), ('move', 'n'), ('around', None), ('get', 'n'), ('assistance', 'n')]",  hospital overcrowd difficult move around get assistance
Negative,The nursing staff didn't respond to my requests for pain relief in a timely manner.,nursing staff respond requests pain relief timely manner,"['nursing', 'staff', 'respond', 'requests', 'pain', 'relief', 'timely', 'manner']","[('nursing', 'a'), ('staff', 'n'), ('respond', 'n'), ('requests', 'n'), ('pain', 'v'), ('relief', 'n'), ('timely', 'a'), ('manner', 'n')]",  nursing staff respond request pain relief timely manner
Negative,"The hospital lacked privacy, and I could hear conversations between patients and staff members in adjacent rooms.",hospital lacked privacy could hear conversations patients staff members adjacent rooms,"['hospital', 'lacked', 'privacy', 'could', 'hear', 'conversations', 'patients', 'staff', 'members', 'adjacent', 'rooms']","[('hospital', 'n'), ('lacked', 'v'), ('privacy', 'n'), ('could', None), ('hear', 'v'), ('conversations', 'n'), ('patients', 'n'), ('staff', 'n'), ('members', 'n'), ('adjacent', 'v'), ('rooms', 'n')]",  hospital lack privacy could hear conversation patient staff member adjacent room
Negative,The medical equipment in the hospital was outdated and malfunctioned during my treatment.,medical equipment hospital outdated malfunctioned treatment,"['medical', 'equipment', 'hospital', 'outdated', 'malfunctioned', 'treatment']","[('medical', 'a'), ('equipment', 'n'), ('hospital', 'n'), ('outdated', 'v'), ('malfunctioned', 'a'), ('treatment', 'n')]",  medical equipment hospital outdated malfunctioned treatment
Negative,I received conflicting information from different staff members about my condition and treatment plan.,received conflicting information different staff members condition treatment plan,"['received', 'conflicting', 'information', 'different', 'staff', 'members', 'condition', 'treatment', 'plan']","[('received', 'v'), ('conflicting', 'v'), ('information', 'n'), ('different', 'a'), ('staff', 'n'), ('members', 'n'), ('condition', 'v'), ('treatment', 'n'), ('plan', 'n')]",  receive conflict information different staff member condition treatment plan
